URL,Title,Visit Time,Visit Count,Visited From,Visit Type,Web Browser,User Profile,Browser Profile,URL Length,Typed Count
https://shopsearch.taobao.com/search?q=51nb&js=1&initiative_id=staobaoz_20180517&ie=utf8,51nb_淘宝搜索,2018/5/17 20:13:50,1,,Form Submit,Chrome,mayu2,Default,88,0
http://shopsearch.taobao.com/search?app=shopsearch&q=51nb&js=1&initiative_id=staobaoz_20180517&ie=utf8,51nb_淘宝搜索,2018/5/17 20:13:50,1,https://shopsearch.taobao.com/search?q=51nb&js=1&initiative_id=staobaoz_20180517&ie=utf8,Form Submit,Chrome,mayu2,Default,102,0
https://shopsearch.taobao.com/search?app=shopsearch&q=51nb&js=1&initiative_id=staobaoz_20180517&ie=utf8,51nb_淘宝搜索,2018/5/17 20:13:50,2,http://shopsearch.taobao.com/search?app=shopsearch&q=51nb&js=1&initiative_id=staobaoz_20180517&ie=utf8,Form Submit,Chrome,mayu2,Default,103,0
https://shop115715032.taobao.com/?spm=a230r.7195193.1997079397.24.sP9Hkj,首页-母鸡兄数码折腾店-淘宝网,2018/5/17 20:13:46,1,,Link,Chrome,mayu2,Default,72,0
https://shop36027216.taobao.com/?spm=a230r.7195193.1997079397.2.sP9Hkj,首页-母鸡兄数码-淘宝网,2018/5/17 20:13:43,1,,Link,Chrome,mayu2,Default,70,0
https://shopsearch.taobao.com/search?app=shopsearch&q=%E6%AF%8D%E9%B8%A1%E5%85%84%E6%95%B0%E7%A0%81&js=1&initiative_id=staobaoz_20180517&ie=utf8,母鸡兄数码_淘宝搜索,2018/5/17 20:13:32,2,http://shopsearch.taobao.com/search?app=shopsearch&q=%E6%AF%8D%E9%B8%A1%E5%85%84%E6%95%B0%E7%A0%81&js=1&initiative_id=staobaoz_20180517&ie=utf8,Form Submit,Chrome,mayu2,Default,144,0
https://shopsearch.taobao.com/search?q=%E6%AF%8D%E9%B8%A1%E5%85%84%E6%95%B0%E7%A0%81&js=1&initiative_id=staobaoz_20180517&ie=utf8,母鸡兄数码_淘宝搜索,2018/5/17 20:13:32,1,,Form Submit,Chrome,mayu2,Default,129,0
http://shopsearch.taobao.com/search?app=shopsearch&q=%E6%AF%8D%E9%B8%A1%E5%85%84%E6%95%B0%E7%A0%81&js=1&initiative_id=staobaoz_20180517&ie=utf8,母鸡兄数码_淘宝搜索,2018/5/17 20:13:32,1,https://shopsearch.taobao.com/search?q=%E6%AF%8D%E9%B8%A1%E5%85%84%E6%95%B0%E7%A0%81&js=1&initiative_id=staobaoz_20180517&ie=utf8,Form Submit,Chrome,mayu2,Default,143,0
https://mdetail.tmall.com/cross/x_cross_iframe.htm?0.12693813334985737&method=heightReset&frameId=popupPanel&height=303px&width=590px,,2018/5/17 20:13:20,1,,Manual Subframe,Chrome,mayu2,Default,133,0
https://favorite.taobao.com/popup/add_collection.htm?itemtype=0&isTmall=1&isAlitrip=&isLp=&isTaohua=&id=110231401&_tb_token_=5ee73e50833be&ua=108%23o4b%2F1%2F4V%2FYpV7EfQcbUdDWExbULPcLd8nA3JIflWD0o%2FglFH0craIiZe1pdBhtuK7kLn%2FfeAreBdlpvTnYvnVRFglEUSAK37h7H7gi0N7SrQo%2F35iYMO%2FiUij6o5qo8s7viPwzrq9zf94Rz0aPx9GtbuATDW%2FjQBcaHP01Sur9D4m4%2BIYadmfIXtVZHy5YxhLGygc%2FVoyliSJuR5Fv5ixY98ULXklVb%2Bzvtweh07HAYH7VSXPcs3VI2zlTmPz5kgh5WtDhkA8yIohlqykUM4860WfoC35BhHl5Wc9kzUY7%2BzazK6Bd60VN3nxNlu1yU2jgmDoj4fgNkOjewzMszuwmq3ALJFpMDERRpYEP8kLCmjvq5XEXI0bPy1aMCKeciEapRH5yXLXqFq15yj3L%2BX6J1P6dwhQ93v3CVgyKKKwX%2FVk0hFRr2lcXzURLrLgX0ujUDLvd%2BVftkcgvJXsFHLJl%2FiGhfuM9FoBKQKV%2FgtDg7YybCpVuMkLm%2B3jCC%2BL9BJkt32g%2BKhhp4TzItQ%2F8Z%2FxfEAFuJL88zKjgHwS5fQOGk7f5EetpErTOaxI7sh6uHIkdsm90Rc8l8wOK3OoOQRgVVEMpzC7TAOF2x70vGLblGPOgoH9K84BvaflOuXyicGqS6hFyiNxsmJE3QSIh%2FIihefiyLUR2r%2F6VU7baNFEILboP7ur0c%3D,,2018/5/17 20:13:19,1,,Manual Subframe,Chrome,mayu2,Default,890,0
http://shopsearch.taobao.com/search?app=shopsearch&q=%E6%95%B0%E7%A0%81%E4%B9%8B%E5%AE%B6&imgfile=&js=1&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20180517&ie=utf8,数码之家_淘宝搜索,2018/5/17 20:12:39,1,https://shopsearch.taobao.com/search?q=%E6%95%B0%E7%A0%81%E4%B9%8B%E5%AE%B6&imgfile=&js=1&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20180517&ie=utf8,Form Submit,Chrome,mayu2,Default,176,0
https://shopsearch.taobao.com/search?q=%E6%95%B0%E7%A0%81%E4%B9%8B%E5%AE%B6&imgfile=&js=1&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20180517&ie=utf8,数码之家_淘宝搜索,2018/5/17 20:12:39,1,,Form Submit,Chrome,mayu2,Default,162,0
https://shopsearch.taobao.com/search?app=shopsearch&q=%E6%95%B0%E7%A0%81%E4%B9%8B%E5%AE%B6&imgfile=&js=1&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20180517&ie=utf8,数码之家_淘宝搜索,2018/5/17 20:12:39,2,http://shopsearch.taobao.com/search?app=shopsearch&q=%E6%95%B0%E7%A0%81%E4%B9%8B%E5%AE%B6&imgfile=&js=1&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20180517&ie=utf8,Form Submit,Chrome,mayu2,Default,177,0
https://s.taobao.com/search?q=%E6%95%B0%E7%A0%81%E4%B9%8B%E5%AE%B6&imgfile=&js=1&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20180517&ie=utf8,数码之家_淘宝搜索,2018/5/17 20:12:33,2,,Form Submit,Chrome,mayu2,Default,153,0
https://store.taobao.com/shop/view_shop.htm?spm=a230r.1.14.58.62ad3102bBQy2T&user_number_id=1893299369,首页-冠泽数码专营-天猫Tmall.com,2018/5/17 20:12:07,1,,Link,Chrome,mayu2,Default,102,0
https://guanzesm.tmall.com/shop/view_shop.htm?spm=a230r.1.14.58.62ad3102bBQy2T&user_number_id=1893299369,首页-冠泽数码专营-天猫Tmall.com,2018/5/17 20:12:07,1,https://shop110231401.taobao.com/shop/view_shop.htm?spm=a230r.1.14.58.62ad3102bBQy2T&user_number_id=1893299369,Link,Chrome,mayu2,Default,104,0
https://shop110231401.taobao.com/shop/view_shop.htm?spm=a230r.1.14.58.62ad3102bBQy2T&user_number_id=1893299369,首页-冠泽数码专营-天猫Tmall.com,2018/5/17 20:12:07,1,https://store.taobao.com/shop/view_shop.htm?spm=a230r.1.14.58.62ad3102bBQy2T&user_number_id=1893299369,Link,Chrome,mayu2,Default,110,0
http://s.taobao.com/search?app=mainSrp&q=hp2760p&cd=false,hp2760p_淘宝搜索,2018/5/17 20:11:58,2,https://s.taobao.com/search?spm=a230r.1.0.0.62ad3102bBQy2T&q=hp2760p&spu_title=%E6%83%A0%E6%99%AE+2760p%28A2U61AV%29&app=detailproduct&pspuid=262044&jc=1&cat=1101&from_pos=19_1101.bpvcombo_1_0_262044,Link,Chrome,mayu2,Default,57,0
https://s.taobao.com/search?app=mainSrp&q=hp2760p&cd=false,hp2760p_淘宝搜索,2018/5/17 20:11:58,4,http://s.taobao.com/search?app=mainSrp&q=hp2760p&cd=false,Link,Chrome,mayu2,Default,58,0
https://s.taobao.com/search?spm=a230r.1.0.0.62ad3102bBQy2T&q=hp2760p&spu_title=%E6%83%A0%E6%99%AE+2760p%28A2U61AV%29&app=detailproduct&pspuid=262044&jc=1&cat=1101&from_pos=19_1101.bpvcombo_1_0_262044,hp2760p_淘宝搜索,2018/5/17 20:11:58,1,,Link,Chrome,mayu2,Default,199,0
http://s.taobao.com/search?app=mainSrp&q=hp2760p&cd=false,hp2760p_淘宝搜索,2018/5/17 20:11:57,2,https://s.taobao.com/search?spm=a230r.1.0.0.62ad3102bBQy2T&q=hp2760p&spu_title=%E6%83%A0%E6%99%AE+2760p%EF%BC%88QC549PA%EF%BC%89&app=detailproduct&pspuid=257593&jc=1&cat=1101&from_pos=19_1101.bpvcombo_1_1_257593,Link,Chrome,mayu2,Default,57,0
https://s.taobao.com/search?spm=a230r.1.0.0.62ad3102bBQy2T&q=hp2760p&spu_title=%E6%83%A0%E6%99%AE+2760p%EF%BC%88QC549PA%EF%BC%89&app=detailproduct&pspuid=257593&jc=1&cat=1101&from_pos=19_1101.bpvcombo_1_1_257593,hp2760p_淘宝搜索,2018/5/17 20:11:57,1,,Link,Chrome,mayu2,Default,211,0
https://s.taobao.com/search?app=mainSrp&q=hp2760p&cd=false,hp2760p_淘宝搜索,2018/5/17 20:11:57,4,http://s.taobao.com/search?app=mainSrp&q=hp2760p&cd=false,Link,Chrome,mayu2,Default,58,0
https://s.taobao.com/search?q=hp2760p&js=1&initiative_id=staobaoz_20180517&ie=utf8,hp2760p_淘宝搜索,2018/5/17 20:11:42,2,,Form Submit,Chrome,mayu2,Default,82,0
https://favorite.taobao.com/popup/add_collection.htm?itemtype=0&isTmall=&isAlitrip=&isLp=&isTaohua=&id=60983828&_tb_token_=5ee73e50833be&ua=108%23w8b%2F1%2Fdl%2FYSYeI6pcbUwDWExmUqPcLd8nA3JIflfDbo%2FdLFH0crayOZe1pdBhtuK7kLT%2Fth5hHBdlpvTnYvnVRFglEUSAK37h7H7gi0N7SrQo%2F35iYMO%2FiUij6o5qo8s7mK5%2Bb2SckgaTTv8lPgyYZhtPqYusoicnhD4oeOirRZvA9DJI2bfwZJqFs9u1SRvw4kn4R3CKhVlU5G59tCAo48aDxAR68dq%2Bgv74%2FXuGMW74fDof0lEt%2F8kc2TubiKF118UVZyvnQYLX9YzL0q9JP0I%2FXIgUFtdoLoBczjeKZ7JGrdgag4er3los5A49ySkFc%2Brp6XG385A9oC8CAI8r4TcWyXOMEYEFlfa8XgaqzOdZNZWI9N5y4Dwg67FFvMBQxM2SyxqxpFjOZrxKgSmcct%2FXcja9fyK9s7bFWYipgj4vw7i8LPQQNto1RBTofIUi42ArOKfSO9XHjjU69jjdqwVbj9S7Wo%2Bk1%2BcXtQICrqGws%2Fls5incrnUjj%2BBZXsSNAYgQK76b3pArCzI712kW5eK7xvni%2BRN5PO8aYfcnpoXFbtyi6XrxME1%2FuDSHC9JZjqKsWYCXoeiT4W0TR9gdhxVa9MBtgL4gbduRn23dk0SZHo22fQDn4cydhyRUQod0GZehgtVXGtcVEzMXY9rwJFXgh%2FjrgBZOWtcB759eUPeLWV2TKxyq6M0W7InvQ3tdmxnBIOu9KcTH1eM2B0i17ARaWicbwyyy58LlsRtx%2F%3D%3D,,2018/5/17 20:11:28,1,,Manual Subframe,Chrome,mayu2,Default,942,0
https://shopsearch.taobao.com/search?app=shopsearch&q=hp2760p&js=1&initiative_id=staobaoz_20180517&ie=utf8,hp2760p_淘宝搜索,2018/5/17 20:11:18,2,http://shopsearch.taobao.com/search?app=shopsearch&q=hp2760p&js=1&initiative_id=staobaoz_20180517&ie=utf8,Form Submit,Chrome,mayu2,Default,106,0
https://shopsearch.taobao.com/search?q=hp2760p&js=1&initiative_id=staobaoz_20180517&ie=utf8,hp2760p_淘宝搜索,2018/5/17 20:11:18,1,,Form Submit,Chrome,mayu2,Default,91,0
http://shopsearch.taobao.com/search?app=shopsearch&q=hp2760p&js=1&initiative_id=staobaoz_20180517&ie=utf8,hp2760p_淘宝搜索,2018/5/17 20:11:18,1,https://shopsearch.taobao.com/search?q=hp2760p&js=1&initiative_id=staobaoz_20180517&ie=utf8,Form Submit,Chrome,mayu2,Default,105,0
https://shop60983828.taobao.com/?spm=a230r.7195193.1997079397.2.OUsuSq,首页-地铁公交卡-淘宝网,2018/5/17 20:11:11,1,,Link,Chrome,mayu2,Default,70,0
https://favorite.taobao.com/popup/add_collection.htm?itemtype=0&isTmall=&isAlitrip=&isLp=&isTaohua=&id=102171968&_tb_token_=5ee73e50833be&ua=108%23o%2B%2F%2F1%2FdF%2FYpZewIUcb9DDWExyuABcLd8nA3JIflyjpo%2FdLFH0craaqke1pdBhtuK7kLH%2F6l0zKBdlpvTnYvnVRFglEUSAK37h7H7gi0N7SrQo%2F35iYMO%2FiUij6o5qo8syZcctNcdDu%2FwN%2FmSue6eknE63rsEjnDTGHqOyf1fQSTSOWKBQwThPnkukRRJdSZM%2Bxpx3%2FFIFCLaJ470jFzdIPAxhLshtFUspOT%2Fn%2BNpsN5vByZv%2B56RiYMCnn7EjBDF2XGweSx6gLdCA8jRURuOTVptmkwQagqMbkn0XcrYvFoIKb0P7d8cYrW0pxIWxC6oqqT4sFFBwjyYmwPYtYGujjAauFEP6E3SFJ3tKQbIgKc9Hm7xxbnPE3jlwi7X%2FU13CMZ6uDuGUZ78w3kK1Cmt0crzNu7nq%2FaexeTKRpw4v8FYU8QwFgbRhVcusx1e3LkEWqexC6DaW9JDUZ62MDIuNUMbgtzrP44l52Vw%2FqG4fE1zJn%2BqRQUPyzFOuegX%2BQRfyyoxdjbJX6QXPtXO9qD9GlJEVU%2BjxpsAyY9N71IWhQOFqCz%2FUiwd2qMmZAnmwg7kafu5TVHXEvDXZswM%2BqU9%2B%2FVF1vPELxtfVO4KTH61QUbe6VqVmsC13nZ7gERW7m9qez3YsaBWy%2FbsuWBRIr1D6zagS0QPBMuriqen5dJrnNTdfTCfhxyO4SFuSzdG751LSU0lCbtfO3ey,,2018/5/17 20:10:59,1,,Manual Subframe,Chrome,mayu2,Default,917,0
http://shopsearch.taobao.com/search?app=shopsearch&q=%E6%B7%B1%E5%9C%B3%E5%8D%8E%E5%BC%BA%E5%8C%97&js=1&initiative_id=staobaoz_20180517&ie=utf8,深圳华强北_淘宝搜索,2018/5/17 20:10:08,1,https://shopsearch.taobao.com/search?q=%E6%B7%B1%E5%9C%B3%E5%8D%8E%E5%BC%BA%E5%8C%97&js=1&initiative_id=staobaoz_20180517&ie=utf8,Form Submit,Chrome,mayu2,Default,143,0
https://shopsearch.taobao.com/search?app=shopsearch&q=%E6%B7%B1%E5%9C%B3%E5%8D%8E%E5%BC%BA%E5%8C%97&js=1&initiative_id=staobaoz_20180517&ie=utf8,深圳华强北_淘宝搜索,2018/5/17 20:10:08,2,http://shopsearch.taobao.com/search?app=shopsearch&q=%E6%B7%B1%E5%9C%B3%E5%8D%8E%E5%BC%BA%E5%8C%97&js=1&initiative_id=staobaoz_20180517&ie=utf8,Form Submit,Chrome,mayu2,Default,144,0
https://shopsearch.taobao.com/search?q=%E6%B7%B1%E5%9C%B3%E5%8D%8E%E5%BC%BA%E5%8C%97&js=1&initiative_id=staobaoz_20180517&ie=utf8,深圳华强北_淘宝搜索,2018/5/17 20:10:08,1,,Form Submit,Chrome,mayu2,Default,129,0
https://shop102171968.taobao.com/?spm=a230r.7195193.1997079397.2.RdLypf,首页-青华数码科技-淘宝网,2018/5/17 20:10:02,1,,Link,Chrome,mayu2,Default,71,0
